Number of individuals;String cleaning time
945;9.557999874232337e-06
946;8.86999987415038e-06
947;8.810999133856967e-06
948;9.677998605184257e-06
949;9.211998985847458e-06
950;1.0126001143362373e-05
951;9.939998562913388e-06
952;9.555998985888436e-06
953;9.4600000011269e-06
954;9.528001100989059e-06
955;9.202998626278713e-06
956;9.478997526457533e-06
957;8.697003067936748e-06
958;9.585997759131715e-06
959;9.151997801382095e-06
960;9.63700222200714e-06
961;1.0741001460701227e-05
962;9.33800038183108e-06
963;1.0070998541777954e-05
964;1.020399940898642e-05
965;9.686002158559859e-06
966;8.938997780205682e-06
967;1.0611998732201755e-05
968;9.786999726202339e-06
969;9.875002433545887e-06
970;9.002000297186896e-06
971;9.20200182008557e-06
972;9.603998478269204e-06
973;9.267998393625021e-06
974;9.905001206789166e-06
975;1.0425999789731577e-05
976;1.063899981090799e-05
977;9.731000318424776e-06
978;8.977000106824562e-06
979;8.732997230254114e-06
980;8.932998753152788e-06
981;9.397001122124493e-06
982;1.6589001461397856e-05
983;9.16499993763864e-06
984;8.928000170271844e-06
985;1.0354000551160425e-05
986;9.750001481734216e-06
987;1.0072999430121854e-05
988;9.159000910585746e-06
989;1.0351999662816525e-05
990;1.0448999091750011e-05
991;9.938998118741438e-06
992;9.619998309062794e-06
993;1.050100036081858e-05
994;9.806000889511779e-06
995;1.0651998309185728e-05
996;9.670999133959413e-06
997;2.7746002160711214e-05
998;1.4017998182680458e-05
999;1.2793996575055644e-05
1000;1.3939999917056412e-05
1001;1.2820997653761879e-05
1002;1.3824999768985435e-05
1003;1.3207998563302681e-05
1004;1.2761000107275322e-05
1005;1.3801996828988194e-05
1006;1.3072996807750314e-05
1007;1.3444001524476334e-05
1008;1.3914999726694077e-05
1009;1.3283999578561634e-05
1010;1.1733998690033332e-05
1011;1.1612002708716318e-05
1012;1.2333002814557403e-05
1013;1.2098997103748843e-05
1014;1.1934000212932006e-05
1015;1.3069999113213271e-05
1016;1.178099773824215e-05
1017;1.227100074174814e-05
1018;1.3344000763026997e-05
1019;1.2914999388158321e-05
1020;1.2279997463338077e-05
1021;1.3455999578582123e-05
1022;1.2606000382220373e-05
1023;1.2839002010878175e-05
1024;1.197600067825988e-05
1025;1.1996999091934413e-05
1026;1.235899981111288e-05
1027;1.334499756922014e-05
1028;1.3021999620832503e-05
1029;1.3339002180146053e-05
1030;1.3020999176660553e-05
1031;1.2225998943904415e-05
1032;1.2787000741809607e-05
1033;1.1582997103687376e-05
1034;1.2108001101296395e-05
1035;1.3386998034548014e-05
1036;1.1900003300979733e-05
1037;1.2078002328053117e-05
1038;1.3079999916953966e-05
1039;1.1765001545427367e-05
1040;1.1117997928522527e-05
1041;1.1419000657042488e-05
1042;1.1749001714633778e-05
1043;1.134999911300838e-05
1044;1.0587002179818228e-05
